name,screen_name,location,created_at,friends_count,followers_count,statuses_count,favourites_count
Ernie Els,TheBig_Easy,"Jupiter, Fla. ",Fri Jan 13 16:40:14 +0000 2012,370,98653,1835,555
Mike Adkins,MikeAdkinsPGA,"Fishers Island, NY",Mon Sep 05 23:00:19 +0000 2011,142,179,102,5
Michael J Fox,mjfoxy12,"Orlando, FL",Wed Feb 04 17:09:49 +0000 2009,288,335,617,8
Ian Kearney,ianokearney,"Galway, Ireland",Thu May 19 15:19:29 +0000 2011,648,416,1258,663
Kate Ruth Brewer,KateRuthBrewer,Aberdeen ,Tue Jan 27 15:24:33 +0000 2009,285,368,1971,954
Scott Marr,Scottmarr8,"Edinburgh, Scotland",Sun Apr 22 23:21:55 +0000 2012,466,1167,637,758
Joe Russell,JoefromDoonbeg,"Doonbeg, Co. Clare Ireland",Wed Feb 24 04:27:38 +0000 2010,137,314,67,97
James Sowers,TrumpCLTsupt,"Mooresville, NC",Wed Nov 04 17:52:23 +0000 2015,219,309,65,19
Jim McLean Doral,JimMcLeanDoral,"Miami, FL",Sun Jun 16 13:35:43 +0000 2013,2041,2303,3559,138
Matthew LaDolcetta,MattLaDolcetta,"New York, New York",Fri May 29 17:49:07 +0000 2009,553,1170,1080,1548
Jim Herman,gohermie,"Palm City, FL",Fri May 29 14:02:16 +0000 2009,559,5944,578,13
Tri at the Trump,triatthetrump,"Mooresville, NC",Mon Sep 28 19:25:38 +0000 2015,423,62,58,4
Hello,HeyItsLindaC,,Wed Sep 30 02:09:41 +0000 2015,842,24867,378,3043
Gillian,D29Gillian,"Stamford, CT",Thu Apr 11 00:52:51 +0000 2013,70,43,20,24
Cristie Kerr,CKGolferChic,,Fri Sep 09 19:36:29 +0000 2011,251,34025,3393,128
TrumpNationalJupiter,TNGCJ,"Jupiter, FL",Wed Nov 06 20:56:01 +0000 2013,39,84,13,3
LINKS Magazine,LINKSMagazine,"Hilton Head Island, SC",Wed Aug 19 15:05:03 +0000 2009,540,4767,2707,367
Bleacher Report,BleacherReport,,Sat Mar 10 23:52:36 +0000 2007,547,3054208,60467,89
Erin Andrews,ErinAndrews,Everywhere,Mon Mar 08 02:12:04 +0000 2010,553,2980140,18985,18
NCAA,NCAA,,Tue Apr 14 13:36:56 +0000 2009,1304,1628048,9664,507
Olympics,Olympics,"Lausanne, Switzerland",Tue Jun 30 15:23:29 +0000 2009,3826,4334702,4180,805
Sports Illustrated,SInow,"New York, NY",Thu Apr 02 16:42:30 +0000 2009,669,1557163,174295,1938
Star Diamond Award,AAHSAWARD,New York City,Thu Dec 30 21:41:13 +0000 2010,726,786,923,363
CBS Sports,CBSSports,,Fri May 23 20:01:16 +0000 2008,984,871979,97794,66
Mike Greenberg,Espngreeny,Instagram: @espngreeny ,Fri Feb 10 00:04:18 +0000 2012,246,1028552,14886,293
Jason Day,JDayGolf,,Mon Jul 15 19:21:24 +0000 2013,89,406386,352,241
Fox News,FoxNews,U.S.A.,Sat Mar 17 19:01:26 +0000 2007,402,10699382,268125,0
The Associated Press,AP,Global,Fri Jun 26 21:48:52 +0000 2009,7282,8484008,153677,10
KPMG Stacy Lewis,StacyLewis_KPMG,"New York, NY",Wed Feb 27 23:30:18 +0000 2013,297,22231,6714,607
NBC News,NBCNews,"New York, NY",Tue Mar 18 23:19:17 +0000 2008,2927,3788891,90798,725
Wally Szczerbiak,wallyball,,Tue Jul 26 19:10:03 +0000 2011,475,43247,14442,2965
Ted Bishop,tedbishop38pga,The Legends Golf Club,Wed Oct 21 17:43:35 +0000 2009,359,5592,2055,424
NBC Sports,NBCSports,,Fri Jan 04 22:16:49 +0000 2008,1166,742468,71767,2002
WGC_Bridgestone,WGC_Bridgestone,"Akron, Ohio, U.S.A.",Mon Jun 07 03:50:34 +0000 2010,372,9538,1723,1110
Kelly Tilghman,KellyTilghmanGC,,Mon Jun 07 18:46:46 +0000 2010,144,107063,11258,1
Frank Nobilo,FrankNobiloGC,,Mon Oct 04 18:15:29 +0000 2010,445,72153,9344,37
brandel chamblee,chambleebrandel,,Sun Dec 05 03:21:59 +0000 2010,1447,88165,12227,3135
Sir Nick Faldo,NickFaldo006,,Fri Oct 01 13:10:44 +0000 2010,304,257505,5393,644
GOLFonCBS,GOLFonCBS,,Tue Jan 10 17:21:58 +0000 2012,445,45160,7984,25
PGA Championship,PGAChampionship,"Charlotte, NC",Tue Aug 11 15:03:54 +0000 2009,581,69237,7559,3593
U.S. Open (USGA),usopengolf,,Wed Mar 18 17:56:07 +0000 2009,2205,239771,10521,3959
Kerry Hannon Woolard,ExecutivePour,"Charlottesville, VA",Mon Dec 09 01:42:06 +0000 2013,1050,2022,1097,2522
Max Adler,MaxAdlerGD,,Mon Jan 03 15:08:21 +0000 2011,489,6727,2169,74
Notah Begay III,NotahBegay3,"Albuquerque, New Mexico",Wed Jun 10 20:32:55 +0000 2009,16,51762,1508,24
Erik Compton,ErikCompton3,,Tue Mar 01 20:08:08 +0000 2011,102,31555,1741,113
Masters Tournament,TheMasters,"Augusta, GA",Mon Mar 09 21:30:42 +0000 2009,9,603963,665,0
Lexi Thompson,Lexi,"Coral Springs, FL",Tue Oct 26 23:56:49 +0000 2010,392,168374,9235,566
Stacy Lewis,Stacy_Lewis,,Sat May 23 19:42:53 +0000 2009,123,49681,2269,2
Michael Miller,Michael_cMiller,,Wed May 25 09:51:03 +0000 2011,115,521,500,1569
Met Golf Association,MGA1897,"NY, NJ, CT",Tue Mar 08 17:45:41 +0000 2011,1007,4832,7709,1333
Todd Lewis,ToddLewisGC,"Orlando, FL",Wed Mar 30 18:44:48 +0000 2011,672,20246,2879,67
Meghan Hardin,MeghanAHardin,Southern California,Thu Jun 30 04:22:05 +0000 2011,339,14471,5029,1178
Dunning Golf,DunningGolf,"New York, NY",Wed Jan 04 22:08:52 +0000 2012,1072,2141,1836,885
ESPN,espn,"Bristol, CT",Tue Mar 27 20:46:16 +0000 2007,295,29545546,79501,164
PGA TOUR Media,PGATOURmedia,"Ponte Vedra Beach, Florida",Thu Dec 15 18:44:53 +0000 2011,522,38380,8705,64
Golf World,GolfWorld1,"Peterborough, England",Tue Jul 28 10:12:15 +0000 2009,821,50002,8986,10
Oakley,oakley,,Tue Jun 10 04:13:29 +0000 2008,82041,370633,13439,1338
Sergio Garcia,TheSergioGarcia,,Fri Feb 12 19:45:20 +0000 2010,17,490440,1393,960
Greg Norman,SharkGregNorman,,Wed Jan 23 19:29:56 +0000 2013,296,87980,5818,362
Paul Manafort,PaulManafort,"Washington, DC",Sat Mar 19 13:53:31 +0000 2016,29,64122,156,3
Teen Vogue,TeenVogue,,Fri Mar 13 15:38:45 +0000 2009,3000,2648530,69575,5082
Larry Glick,LGlick1,,Sat Mar 05 02:21:09 +0000 2011,139,3598,632,219
GOP Convention,GOPconvention,"Cleveland, OH",Wed Feb 03 06:34:53 +0000 2010,2394,55372,2770,236
Fortune,FortuneMagazine,New York,Wed Mar 18 10:23:54 +0000 2009,488,2121174,106697,1140
People Magazine,people,,Fri Mar 20 22:30:24 +0000 2009,1617,7325567,127798,4295
Newsweek,Newsweek,"New York, NY",Thu Mar 29 19:51:11 +0000 2007,57,2945018,79818,2416
Antonio Brown,AntonioBrown84,cmelike,Wed Dec 08 13:14:10 +0000 2010,3750,614182,17965,10672
Pamela Bowen Stanley,pam226,los angeles,Thu Apr 23 06:55:35 +0000 2009,313,2466,1031,474
Anderson Cooper 360°,AC360,"New York, NY",Fri Dec 17 23:37:19 +0000 2010,156,661176,58935,433
Anderson Cooper,andersoncooper,New York,Tue Jun 24 22:37:59 +0000 2008,246,8620121,18080,9
CNN Politics,CNNPolitics,"Washington, D.C.",Sat Feb 23 03:12:49 +0000 2008,773,892851,67821,176
Tony Dovolani,TonyDovolani,,Sat Aug 22 16:13:04 +0000 2009,1621,216389,6957,540
FOX Business,FoxBusiness,"New York, NY",Mon Jul 13 16:18:27 +0000 2009,410,556118,97919,0
Ellen DeGeneres,TheEllenShow,California,Thu Aug 14 03:50:42 +0000 2008,36339,61931395,12711,321
John Rich,johnrich,"Nashville, TN",Mon Oct 20 16:22:15 +0000 2008,922,174188,8974,7
MARKUS MOLINARI,MDMOLINARI,LA/Paris/NY ,Mon Mar 23 23:11:41 +0000 2009,1565,110522,22635,182
Cheyenne Van Zutphen,MissVanZutphen,"Malibu, CA",Sat Nov 24 19:40:22 +0000 2012,46,165,30,14
Ivanka Trump,IvankaJewelry,109 Mercer Street,Thu Aug 23 20:25:48 +0000 2012,573,2896,582,60
Joel Warren,Joel_Warren,"New York, NY",Sat Jun 20 16:02:53 +0000 2009,1608,1002,447,31
Blue&Cream,blueandcream,NEW YORK,Sun Mar 01 21:02:22 +0000 2009,280,2428,2809,354
Gaia Matisse,g_matisse,instagram.com/gmatisse,Sat Nov 13 18:50:24 +0000 2010,90,321,134,20
Danielle Maples,daniellenmaples,,Wed Oct 26 00:07:17 +0000 2011,86,140,141,54
mandie erickson,MandieErickson,"ÜT: 40.751349,-74.001873",Sat Mar 14 01:43:16 +0000 2009,1001,4102,2033,1
Julia Moshy,theycallmeMOSH,"New York, USA",Tue May 12 04:15:01 +0000 2009,123,527,2216,84
Haya  Maraka,hayamaraka,universal ,Wed Mar 18 05:59:14 +0000 2009,423,1336,4408,50
Samantha Blake Cohen,SamiCoCoPuff,nyc,Tue Oct 11 15:09:20 +0000 2011,70,120,577,4
gabriellesangels.org,CureCancerNow,New York City,Wed Apr 14 19:28:42 +0000 2010,314,2611,5043,482
Lana Del Rey,LanaDelRey,New York ,Sun Jun 07 02:29:09 +0000 2009,1101,6143614,759,96
Teddy Margules,teddymargules,NY,Wed Apr 15 18:46:45 +0000 2009,19,667,1576,343
Chelsea Handler,chelseahandler,"Los Angeles, CA",Sun Feb 01 21:13:36 +0000 2009,94,5947600,5462,447
Zuzanna Szadkowski,ZuzannaWanda,"Brooklyn, NY",Mon Feb 09 17:33:39 +0000 2009,455,44048,5108,193
Ian Somerhalder,iansomerhalder,The Universe,Sun Jul 19 16:36:43 +0000 2009,657,6411844,9214,21
Randomness_,TrueLife_Tweets,Everywhere,Tue Sep 20 01:47:42 +0000 2011,2022,1466,252,5
Alleg Deuce,Allegdeuce,cloud 9 ,Sat Feb 05 23:11:13 +0000 2011,174,167,2544,0
Serena Marron,serenaamarronn,,Fri May 06 00:57:44 +0000 2011,294,236,2188,188
The Dapifer,thedapifer,"New York, New York",Thu Jun 11 06:05:28 +0000 2009,107,1311,1117,93
Vogue Magazine,voguemagazine,"New York, NY",Fri Apr 23 18:33:32 +0000 2010,531,11644808,43071,5832
Christian Louboutin,LouboutinWorld,Paris – London – NY,Fri Aug 28 15:30:46 +0000 2009,671,2277818,10323,2637
Caroline Palmer,CarolinePalmer,,Thu Jan 27 20:09:47 +0000 2011,256,19647,821,23
Sam Epstein,samanthaallyy,,Tue Jun 21 20:31:18 +0000 2011,178,210,937,1560
Georgia Patrice,Georgia_Patrice,"Haddonfield, NJ",Tue Mar 02 02:44:37 +0000 2010,754,173,239,22
Edgar Gonzalez,edgaryall,"New York, NY",Tue Mar 10 20:10:39 +0000 2009,229,281,1986,5
morgan elias,morganelias,new york city,Tue May 26 16:45:12 +0000 2009,323,2597,10688,393
Andrew Warren,adwnewyork,NYC/HAMPTONS,Sat Mar 28 22:07:52 +0000 2009,178,36262,1447,4
Julian Morris,JulianM,London,Fri Sep 04 02:54:30 +0000 2009,1552,369452,1729,853
Canaan Rubin,CanaanRubin,Los Angeles | NY | Amsterdam,Thu Mar 12 18:35:42 +0000 2009,944,1938,1717,729
Jason Tiger,JasonTigre,,Sat Apr 18 20:25:51 +0000 2009,102,270,359,82
SHERRI HILL,SherriHill,"Austin, TX",Sat Jul 24 13:28:15 +0000 2010,188,193987,3685,2856
Russell Brand,rustyrockets,,Mon Jan 26 22:21:06 +0000 2009,292,12033430,8101,18
KANYE WEST,kanyewest,,Thu Jul 22 23:00:05 +0000 2010,1,25568139,979,1
Fadil Berisha,fadilberisha,New York City ,Wed May 26 16:47:31 +0000 2010,712,85631,5670,13
Miley Ray Cyrus,MileyCyrus,@happyhippiefdn,Fri Mar 18 18:36:02 +0000 2011,369,30624508,8131,81
Hayley Nicole,HayleyNicole6,,Thu May 12 00:48:44 +0000 2011,90,84,1091,525
Scott Lazerson,scottlazerson,Everywhere,Fri Jun 20 22:12:58 +0000 2008,1044,7308,25806,12744
Kimberly VanDerBeek,vanderkimberly,Los Angeles,Mon Apr 13 06:33:01 +0000 2009,197,7702,6038,423
Mary-Kate Olsen,imMKOlsen,All around the world.,Thu Apr 30 16:12:26 +0000 2009,30,156402,501,0
NYLON,NylonMag,everywhere,Wed Mar 26 03:18:38 +0000 2008,691,948419,49916,1908
Marshall Mathers,Eminem,Detroit,Thu Mar 05 16:33:48 +0000 2009,0,20788836,623,0
$PR!TE,SPRITES_NEST,Sprite Land,Fri Apr 02 08:53:41 +0000 2010,233,161,518,124
Rachel Zoe,RachelZoe,Los Angeles,Sun Apr 12 19:29:05 +0000 2009,257,3507447,9843,2587
Brandon Jones,brandonwjones,"Los Angeles, California",Mon Jul 27 21:08:24 +0000 2009,149,28005,4271,0
Lisa Mirchin,LisaMirchin,,Wed Jan 21 06:44:42 +0000 2009,115,426,2500,11
Tara Sutphen *Author,TaraSutphen,,Wed Apr 29 20:33:30 +0000 2009,11686,12744,14538,786
SFK LA,SFK_LA,"Los Angeles, CA",Tue Jan 26 22:27:12 +0000 2010,192,228,70,0
marla maples,itsmarlamaples,NYC/ Atlanta,Sun Oct 24 08:03:18 +0000 2010,499,26205,3623,663
Patrick J. Buchanan,PatrickBuchanan,"Washington, DC",Tue Jan 27 16:20:35 +0000 2009,0,22966,993,0
BBC Breaking News,BBCBreaking,"London, UK",Sun Apr 22 14:42:37 +0000 2007,3,25150905,29728,0
BBC News (World),BBCWorld,"London, UK",Thu Feb 01 07:44:29 +0000 2007,69,15692150,238399,1
David Axelrod,davidaxelrod,,Sat Jan 29 20:34:55 +0000 2011,420,463055,5312,56
Laura❤️Trump❤️Pence,LastChance2016,Where Uncle Sam Needs Us,Fri Jul 10 03:46:14 +0000 2015,3411,3688,8680,37600
Michael Safcsak,MikeForWV,"Wheeling, WV ",Wed Feb 17 14:48:17 +0000 2010,823,359,1,6727
Marina,1lolamarina,Chicago ,Sat Dec 22 00:11:41 +0000 2012,9671,11217,70061,188160
Coughing KKKillary,FLConserve941,"Sarasota, FL",Tue Mar 29 02:02:27 +0000 2016,2084,2233,43706,42358
MATT DRUDGE,DRUDGE,,Sat Feb 05 12:31:30 +0000 2011,0,397207,5,0
Zeke Miller,ZekeJMiller,"Washington, DC",Thu Feb 19 17:01:16 +0000 2009,5206,105321,149170,9
Noah Rothman,NoahCRothman,New York City,Mon Jul 19 16:32:51 +0000 2010,2006,23178,182853,27687
Duskin/Stephens,Duskin_Stephens,,Mon Apr 22 01:19:43 +0000 2013,187,248,2554,105
Hollywood Reporter,THR,"Hollywood, CA",Mon Nov 17 18:10:33 +0000 2008,2747,2180632,221120,399
Bill Clinton,billclinton,"New York, NY",Sat Apr 06 01:47:40 +0000 2013,16,5957144,481,50
Roger Stone,RogerJStoneJr,New York City,Mon Jun 15 03:51:50 +0000 2009,4249,79389,27270,2528
Brian Kilmeade,kilmeade,nyc,Mon Jun 01 16:53:26 +0000 2009,2802,210385,14849,83
Kimberly Guilfoyle,kimguilfoyle,New York,Wed Mar 18 16:33:40 +0000 2009,853,702114,2746,156
Yahoo News,YahooNews,New York City,Sat Jul 07 06:52:31 +0000 2007,2369,1074088,125394,305
Wendy Long 2016,WendyLongNY,"New York, USA",Wed Apr 11 05:40:05 +0000 2012,38,5889,1060,1262
Maria Bartiromo,MariaBartiromo,"New York, NY ",Tue Oct 26 18:58:26 +0000 2010,1081,199206,13316,941
Dave Brat VA 7th,DaveBratVA7th,"Glen Allen, VA",Mon Jan 06 13:35:12 +0000 2014,1937,12714,2664,463
Phyllis Schlafly,PhyllisSchlafly,"St. Louis, MO",Sat Jan 30 13:59:21 +0000 2010,41,6955,691,22
Alabama Football,AlabamaFTBL,"Tuscaloosa, AL",Sun Aug 07 22:03:53 +0000 2011,62,511167,6978,91
Troy Aikman,TroyAikman,"Dallas, TX",Mon Apr 13 03:07:57 +0000 2009,254,1501420,2883,7
Nikki Bennington,NikkiB_Music,Nashville / NYC / Colorado,Mon Oct 15 19:38:15 +0000 2012,1015,534,2962,4010
Kevin McCarthy,KevinMcCarthyTV,"Washington D.C., United States",Wed Jan 28 18:31:10 +0000 2009,999,34722,50450,12430
John Heilemann,jheil,,Sat Mar 29 14:31:22 +0000 2008,1601,104361,14620,1166
troyD,Teeroyd,montana,Mon Nov 28 07:08:24 +0000 2011,296,503,10595,5
Daryl Lanier,Daryl_Manuel,"Orange Park, FL",Thu Mar 26 16:32:56 +0000 2009,1225,296,7528,7461
Daniel Horowitz,RMConservative,,Tue Feb 15 03:19:52 +0000 2011,442,20045,35922,40
Sissy Willis,SissyWillis,"Chelsea, MA",Thu Jan 15 10:32:24 +0000 2009,8295,8808,222919,848
James Rosen,JamesRosenFNC,"Washington, D.C.",Wed Jun 17 16:58:41 +0000 2009,49106,139862,21221,532
azcentral,azcentral,Arizona ,Tue Feb 05 22:04:38 +0000 2008,6098,242005,111771,433
LifeZette,LifeZette,"Washington, DC",Wed Feb 04 02:57:53 +0000 2015,208,12722,18899,76
Bruce Huffman,Cavalier6,"Tucson, Arizona",Fri Aug 14 18:54:58 +0000 2009,2221,2077,17763,3190
Richard Grenell,RichardGrenell,los angeles and palm springs,Mon Nov 16 20:46:59 +0000 2009,1627,39211,61253,17624
Hillary Clinton,HillaryClinton,"New York, NY",Tue Apr 09 18:04:35 +0000 2013,748,8670656,7906,1146
Chris Christie,ChrisChristie,,Fri Apr 12 17:12:47 +0000 2013,201,145674,2856,224
John Kasich,JohnKasich,"Westerville, Ohio",Wed Dec 10 14:33:27 +0000 2008,10076,422819,8957,785
